zone,food_category,day_of_week,hour,month,is_weekend,is_evening,is_morning,zone_ngos_active,listings_in_zone,avg_distance_km,demand_kg,urgency_score,claimed_within_2hrs
North Delhi,Cooked Meals,3,17,4,0,1,0,5,1,14.0,26.9,0.87,1
Noida,Bakery,0,15,12,0,0,0,9,6,2.1,9.7,0.5,1
Dwarka,Rice & Grains,5,12,1,1,0,0,12,7,3.3,5.0,0.69,1
Central Delhi,Dairy,4,21,3,0,1,0,12,3,2.6,13.7,0.6,1
East Delhi,Rice & Grains,0,10,5,0,0,1,5,5,4.7,12.0,0.55,0
North Delhi,Rice & Grains,5,14,11,1,0,0,9,1,17.0,7.7,0.89,1
North Delhi,Fruits & Vegetables,3,19,5,0,1,0,10,8,9.7,8.3,0.6,1
North Delhi,Rice & Grains,1,7,5,0,0,1,10,8,6.7,24.2,0.53,0
Gurgaon,Bakery,2,8,10,0,0,1,5,7,17.3,5.0,0.39,0
West Delhi,Bakery,1,16,5,0,0,0,12,2,2.0,13.3,0.69,1
Gurgaon,Cooked Meals,4,16,5,0,0,0,9,4,17.3,5.0,0.57,1
North Delhi,Fruits & Vegetables,4,13,2,0,0,0,11,8,14.1,8.2,0.56,0
Dwarka,Dairy,0,8,1,0,0,1,8,6,16.2,22.9,0.36,0
South Delhi,Bakery,0,20,1,0,1,0,12,7,2.6,16.5,0.69,1
North Delhi,Dairy,0,15,7,0,0,0,11,7,5.3,16.6,0.6,1
North Delhi,Packaged Goods,3,20,7,0,1,0,11,2,7.1,10.6,0.46,0
North Delhi,Packaged Goods,4,16,10,0,0,0,3,1,11.3,8.3,0.47,1
South Delhi,Dairy,6,12,10,1,0,0,10,5,7.4,23.3,0.85,1
Dwarka,Rice & Grains,4,20,3,0,1,0,2,1,3.6,14.8,0.54,1
Gurgaon,Dairy,5,17,5,1,1,0,10,3,3.9,18.7,0.66,1
Central Delhi,Dairy,2,15,6,0,0,0,10,3,2.4,5.0,0.79,0
North Delhi,Packaged Goods,2,12,4,0,0,0,5,2,7.1,5.0,0.43,0
Dwarka,Rice & Grains,5,20,10,1,1,0,11,6,11.7,15.0,0.88,0
Gurgaon,Fruits & Vegetables,1,9,8,0,0,1,2,8,5.1,5.0,0.76,0
North Delhi,Rice & Grains,1,13,8,0,0,0,5,8,13.6,17.9,0.64,0
Noida,Rice & Grains,3,12,7,0,0,0,2,6,1.7,8.7,0.55,1
Noida,Cooked Meals,4,9,3,0,0,1,5,6,2.2,13.6,0.61,1
North Delhi,Bakery,1,15,3,0,0,0,6,3,7.1,11.9,0.55,1
West Delhi,Bakery,1,6,3,0,0,0,3,1,15.2,6.8,0.48,0
East Delhi,Packaged Goods,5,9,6,1,0,1,6,8,5.5,9.0,0.79,0
Noida,Rice & Grains,1,22,10,0,0,0,3,2,3.9,12.0,0.23,0
East Delhi,Bakery,1,18,12,0,1,0,11,7,17.6,14.3,0.54,1
West Delhi,Cooked Meals,6,12,9,1,0,0,4,6,5.6,16.7,0.76,1
Central Delhi,Bakery,6,22,10,1,0,0,5,2,14.4,21.1,0.91,0
South Delhi,Bakery,4,18,11,0,1,0,7,8,10.1,11.3,0.69,0
East Delhi,Fruits & Vegetables,5,17,9,1,1,0,9,8,5.9,12.9,0.61,1
Gurgaon,Rice & Grains,6,7,4,1,0,1,5,8,15.7,9.3,0.78,1
Gurgaon,Bakery,2,19,7,0,1,0,7,5,10.6,12.4,0.47,0
East Delhi,Cooked Meals,2,20,9,0,1,0,11,1,9.2,20.5,0.68,1
Noida,Packaged Goods,3,20,7,0,1,0,9,6,6.0,5.0,0.44,1
North Delhi,Bakery,3,13,5,0,0,0,7,2,6.4,13.1,0.62,0
South Delhi,Fruits & Vegetables,1,9,2,0,0,1,2,4,7.0,20.8,0.75,1
Noida,Fruits & Vegetables,2,14,4,0,0,0,4,5,1.6,9.3,0.58,0
Central Delhi,Fruits & Vegetables,6,17,7,1,1,0,11,1,9.3,23.1,0.76,0
East Delhi,Packaged Goods,1,13,12,0,0,0,9,4,10.0,5.7,0.4,0
Dwarka,Rice & Grains,6,20,6,1,1,0,7,4,8.6,14.6,0.73,0
Gurgaon,Bakery,3,20,9,0,1,0,4,3,6.5,5.0,0.39,1
North Delhi,Packaged Goods,6,17,6,1,1,0,8,7,14.1,5.0,0.72,1
Central Delhi,Fruits & Vegetables,4,6,10,0,0,0,4,3,17.6,12.8,0.57,0
Noida,Dairy,5,18,7,1,1,0,8,2,10.3,17.9,0.78,1
West Delhi,Packaged Goods,0,16,10,0,0,0,12,5,3.0,5.0,0.37,0
South Delhi,Rice & Grains,4,11,1,0,0,1,11,8,1.9,14.0,0.63,0
West Delhi,Cooked Meals,3,15,4,0,0,0,12,2,9.0,16.1,0.58,1
Noida,Dairy,0,11,6,0,0,1,8,7,4.1,7.5,0.29,0
South Delhi,Bakery,4,19,8,0,1,0,8,4,3.6,18.4,0.52,0
West Delhi,Fruits & Vegetables,3,21,3,0,1,0,6,4,9.8,12.0,0.55,0
Dwarka,Fruits & Vegetables,1,6,3,0,0,0,8,4,10.2,15.1,0.37,0
Dwarka,Packaged Goods,3,7,12,0,0,1,12,8,7.2,5.0,0.44,1
Central Delhi,Packaged Goods,4,11,7,0,0,1,11,7,9.1,18.4,0.7,1
East Delhi,Rice & Grains,4,9,7,0,0,1,2,4,16.1,13.9,0.55,0
East Delhi,Fruits & Vegetables,5,15,11,1,0,0,5,8,8.3,17.7,0.65,0
South Delhi,Fruits & Vegetables,0,9,9,0,0,1,7,7,8.9,17.2,0.73,0
Central Delhi,Bakery,4,7,8,0,0,1,12,8,7.8,17.5,0.9,1
Gurgaon,Bakery,3,7,1,0,0,1,4,6,12.6,8.4,0.37,1
Dwarka,Packaged Goods,3,8,2,0,0,1,5,8,3.8,5.9,0.25,0
Central Delhi,Bakery,1,6,10,0,0,0,6,2,10.3,7.6,0.58,1
Gurgaon,Bakery,0,6,11,0,0,0,9,6,4.4,5.0,0.44,0
North Delhi,Rice & Grains,4,12,8,0,0,0,12,2,7.9,8.5,0.73,0
Central Delhi,Packaged Goods,0,6,1,0,0,0,5,4,7.7,8.5,0.57,0
West Delhi,Bakery,0,6,7,0,0,0,2,6,15.0,6.2,0.51,1
South Delhi,Bakery,0,11,12,0,0,1,8,2,15.0,17.0,0.56,1
Noida,Dairy,5,12,10,1,0,0,10,7,17.0,7.9,0.66,1
South Delhi,Bakery,1,9,6,0,0,1,2,7,12.3,6.1,0.56,1
North Delhi,Packaged Goods,1,20,4,0,1,0,6,6,2.2,6.7,0.59,1
West Delhi,Packaged Goods,2,21,2,0,1,0,11,3,5.7,9.1,0.47,0
South Delhi,Dairy,2,18,11,0,1,0,4,6,4.4,23.0,0.68,0
Noida,Rice & Grains,3,8,6,0,0,1,11,8,7.8,11.9,0.51,1
West Delhi,Dairy,4,6,4,0,0,0,3,5,5.4,10.9,0.48,1
Gurgaon,Bakery,4,8,1,0,0,1,9,5,4.8,5.0,0.41,1
Gurgaon,Bakery,5,7,4,1,0,1,11,8,13.7,16.1,0.71,0
Noida,Bakery,2,16,11,0,0,0,2,7,12.2,11.3,0.57,0
Central Delhi,Cooked Meals,1,16,6,0,0,0,10,1,16.5,17.4,0.74,1
West Delhi,Rice & Grains,5,13,10,1,0,0,10,6,4.5,12.0,0.74,0
North Delhi,Cooked Meals,6,21,2,1,1,0,2,3,17.0,28.6,0.97,0
East Delhi,Cooked Meals,1,12,4,0,0,0,8,8,6.6,12.3,0.58,0
West Delhi,Bakery,3,11,10,0,0,1,6,8,17.5,8.6,0.56,1
West Delhi,Fruits & Vegetables,6,21,2,1,1,0,7,7,7.7,9.2,0.5,0
Dwarka,Packaged Goods,3,22,10,0,0,0,4,8,1.8,5.0,0.3,0
Gurgaon,Packaged Goods,6,8,5,1,0,1,4,3,5.7,5.0,0.56,0
Dwarka,Fruits & Vegetables,3,15,7,0,0,0,9,2,7.0,6.0,0.65,0
Dwarka,Bakery,1,12,1,0,0,0,10,6,9.6,8.8,0.5,1
Gurgaon,Packaged Goods,5,17,7,1,1,0,12,2,8.2,11.3,0.46,1
North Delhi,Cooked Meals,3,11,4,0,0,1,6,6,9.9,20.6,0.64,0
Dwarka,Rice & Grains,5,17,12,1,1,0,8,7,13.6,21.4,0.64,1
West Delhi,Packaged Goods,0,17,11,0,1,0,2,3,5.8,5.0,0.53,0
Dwarka,Rice & Grains,1,14,4,0,0,0,12,3,1.7,11.8,0.45,0
South Delhi,Rice & Grains,5,18,7,1,1,0,3,4,16.0,25.1,1.0,1
East Delhi,Packaged Goods,2,15,9,0,0,0,12,7,11.2,5.0,0.64,0
Gurgaon,Rice & Grains,6,8,2,1,0,1,7,3,5.9,8.0,0.76,0
West Delhi,Rice & Grains,3,15,1,0,0,0,9,1,3.1,9.2,0.63,0
Gurgaon,Dairy,3,15,12,0,0,0,4,6,4.6,5.0,0.45,0
East Delhi,Bakery,3,11,9,0,0,1,9,4,4.6,9.5,0.42,0
North Delhi,Rice & Grains,1,12,5,0,0,0,8,8,11.8,16.3,0.57,0
South Delhi,Rice & Grains,1,8,5,0,0,1,3,5,2.6,16.7,0.62,1
North Delhi,Dairy,1,21,8,0,1,0,3,1,2.5,5.0,0.57,0
North Delhi,Rice & Grains,4,7,2,0,0,1,2,7,11.4,25.9,0.7,1
Central Delhi,Packaged Goods,3,16,10,0,0,0,7,6,18.0,8.4,0.55,1
West Delhi,Fruits & Vegetables,5,18,7,1,1,0,7,6,14.8,16.5,0.78,1
North Delhi,Packaged Goods,6,18,12,1,1,0,4,1,11.4,6.8,0.81,0
Central Delhi,Rice & Grains,6,13,6,1,0,0,12,8,10.0,25.0,0.97,1
West Delhi,Cooked Meals,5,16,1,1,0,0,2,6,12.7,19.0,0.8,0
West Delhi,Dairy,3,18,12,0,1,0,3,6,8.6,15.8,0.6,0
Dwarka,Rice & Grains,6,9,12,1,0,1,11,4,13.2,13.5,0.69,1
North Delhi,Bakery,3,8,5,0,0,1,10,8,4.3,10.5,0.7,0
Dwarka,Cooked Meals,3,13,4,0,0,0,12,2,3.2,5.0,0.43,1
North Delhi,Bakery,2,18,5,0,1,0,6,8,17.2,12.7,0.55,1
South Delhi,Rice & Grains,1,21,2,0,1,0,7,4,16.9,21.9,0.74,0
South Delhi,Rice & Grains,2,18,12,0,1,0,8,7,14.8,19.9,0.87,0
West Delhi,Fruits & Vegetables,0,15,2,0,0,0,7,4,13.8,5.0,0.44,1
South Delhi,Dairy,2,10,6,0,0,1,11,1,6.6,15.3,0.53,0
West Delhi,Packaged Goods,3,16,6,0,0,0,4,4,3.3,5.1,0.62,0
North Delhi,Dairy,6,20,6,1,1,0,6,4,9.7,20.5,0.81,1
Dwarka,Bakery,4,15,3,0,0,0,2,6,6.6,5.0,0.41,0
South Delhi,Fruits & Vegetables,6,21,11,1,1,0,9,5,13.1,22.7,0.84,1
Gurgaon,Cooked Meals,6,16,3,1,0,0,5,4,13.1,19.0,0.78,0
North Delhi,Bakery,6,21,12,1,1,0,12,3,17.9,11.0,0.77,1
Gurgaon,Fruits & Vegetables,3,21,6,0,1,0,8,2,10.2,11.3,0.56,0
Central Delhi,Fruits & Vegetables,5,12,12,1,0,0,8,2,3.7,25.8,0.75,0
North Delhi,Rice & Grains,2,20,11,0,1,0,4,8,13.0,12.3,0.49,1
Central Delhi,Bakery,1,12,12,0,0,0,12,1,7.5,9.9,0.67,1
South Delhi,Rice & Grains,6,10,7,1,0,1,8,3,16.8,29.9,0.91,0
South Delhi,Fruits & Vegetables,3,11,1,0,0,1,10,6,11.3,13.3,0.69,1
East Delhi,Rice & Grains,5,18,4,1,1,0,5,7,9.6,17.1,1.0,1
East Delhi,Rice & Grains,5,18,12,1,1,0,12,2,14.3,13.3,0.81,0
Gurgaon,Fruits & Vegetables,5,20,6,1,1,0,3,2,3.5,22.4,0.65,1
West Delhi,Cooked Meals,4,21,5,0,1,0,3,3,7.8,14.6,0.56,0
Gurgaon,Fruits & Vegetables,4,10,2,0,0,1,10,3,8.2,6.5,0.59,0
North Delhi,Packaged Goods,4,22,8,0,0,0,11,2,13.9,5.0,0.65,1
West Delhi,Rice & Grains,0,11,10,0,0,1,2,8,14.7,5.0,0.54,0
South Delhi,Cooked Meals,1,12,11,0,0,0,10,5,15.5,15.9,0.81,1
North Delhi,Cooked Meals,0,22,5,0,0,0,10,3,8.5,6.0,0.7,1
North Delhi,Bakery,2,7,9,0,0,1,6,8,3.8,20.1,0.41,0
Dwarka,Rice & Grains,2,22,6,0,0,0,10,4,12.9,10.8,0.48,0
North Delhi,Bakery,0,12,3,0,0,0,5,3,11.4,11.2,0.55,1
West Delhi,Dairy,2,14,3,0,0,0,8,2,10.6,6.4,0.59,0
Central Delhi,Packaged Goods,5,11,7,1,0,1,6,7,17.0,22.1,0.76,1
East Delhi,Dairy,1,8,11,0,0,1,12,4,13.3,15.0,0.44,0
East Delhi,Packaged Goods,6,10,6,1,0,1,8,7,1.9,5.2,0.72,0
West Delhi,Cooked Meals,2,9,9,0,0,1,10,7,2.6,20.6,0.64,1
South Delhi,Fruits & Vegetables,2,14,3,0,0,0,5,5,1.7,11.9,0.67,0
Gurgaon,Bakery,3,9,2,0,0,1,6,8,3.1,5.0,0.48,1
Noida,Rice & Grains,4,15,9,0,0,0,3,1,4.3,13.4,0.47,1
Gurgaon,Bakery,2,18,8,0,1,0,6,1,12.8,5.3,0.45,0
East Delhi,Rice & Grains,1,10,7,0,0,1,6,1,16.7,10.7,0.59,0
Noida,Rice & Grains,6,13,11,1,0,0,9,3,8.7,23.1,0.7,0
Noida,Packaged Goods,4,15,5,0,0,0,10,4,6.5,5.0,0.34,0
South Delhi,Fruits & Vegetables,3,16,2,0,0,0,3,4,17.1,17.2,0.66,0
East Delhi,Dairy,0,8,12,0,0,1,9,1,17.4,8.2,0.7,1
Gurgaon,Rice & Grains,4,10,8,0,0,1,12,2,8.2,16.0,0.43,0
West Delhi,Rice & Grains,0,19,12,0,1,0,7,4,17.9,5.0,0.67,0
North Delhi,Dairy,3,11,11,0,0,1,10,4,4.4,8.9,0.67,0
Noida,Bakery,4,17,1,0,1,0,8,3,7.7,5.0,0.53,1
South Delhi,Fruits & Vegetables,5,13,9,1,0,0,3,5,6.4,12.8,0.95,0
Central Delhi,Fruits & Vegetables,1,6,12,0,0,0,8,4,16.7,12.8,0.55,0
North Delhi,Packaged Goods,4,21,1,0,1,0,11,8,6.9,7.1,0.57,1
Noida,Cooked Meals,0,17,12,0,1,0,7,1,3.2,13.5,0.61,1
Dwarka,Bakery,0,22,9,0,0,0,8,2,16.6,17.0,0.31,0
North Delhi,Bakery,6,14,4,1,0,0,7,5,7.5,20.8,0.76,1
East Delhi,Dairy,6,14,2,1,0,0,12,8,4.2,10.1,0.63,0
Noida,Rice & Grains,3,6,6,0,0,0,5,2,4.6,8.1,0.61,0
North Delhi,Bakery,3,19,12,0,1,0,2,3,12.5,11.2,0.7,1
Dwarka,Rice & Grains,2,9,7,0,0,1,9,3,6.9,5.0,0.54,0
Gurgaon,Dairy,5,18,3,1,1,0,3,1,3.6,6.8,0.7,1
Noida,Dairy,0,13,1,0,0,0,7,7,17.6,12.4,0.45,0
North Delhi,Packaged Goods,3,15,5,0,0,0,8,4,11.7,5.0,0.52,0
East Delhi,Bakery,2,9,5,0,0,1,5,7,4.8,11.5,0.56,0
South Delhi,Rice & Grains,5,22,10,1,0,0,11,3,5.3,28.9,0.81,1
East Delhi,Packaged Goods,0,14,4,0,0,0,8,1,11.7,9.9,0.59,0
South Delhi,Cooked Meals,3,19,9,0,1,0,12,4,5.2,14.5,0.78,1
Gurgaon,Packaged Goods,0,22,7,0,0,0,6,2,5.9,5.0,0.37,0
Central Delhi,Fruits & Vegetables,5,19,4,1,1,0,2,3,2.2,24.9,0.8,1
North Delhi,Rice & Grains,5,16,4,1,0,0,6,2,8.6,14.3,0.82,1
Central Delhi,Packaged Goods,2,16,5,0,0,0,12,1,12.8,5.0,0.47,1
East Delhi,Fruits & Vegetables,2,17,12,0,1,0,10,6,5.4,16.1,0.44,0
Central Delhi,Bakery,4,18,2,0,1,0,4,2,2.2,17.7,0.67,0
West Delhi,Bakery,5,20,2,1,1,0,10,6,6.5,5.6,0.63,1
Dwarka,Bakery,4,10,1,0,0,1,8,5,16.2,13.8,0.37,1
Noida,Fruits & Vegetables,3,9,7,0,0,1,8,1,4.3,5.9,0.52,1
Central Delhi,Rice & Grains,1,15,1,0,0,0,2,4,13.7,19.2,0.67,0
Gurgaon,Packaged Goods,5,22,2,1,0,0,10,7,10.8,5.0,0.72,1
Gurgaon,Packaged Goods,4,14,4,0,0,0,4,4,11.3,13.2,0.47,1
North Delhi,Dairy,3,22,12,0,0,0,6,5,15.6,11.6,0.51,0
Central Delhi,Rice & Grains,2,9,3,0,0,1,10,4,6.3,12.7,0.75,1
East Delhi,Fruits & Vegetables,1,14,1,0,0,0,5,4,10.3,11.8,0.69,0
North Delhi,Rice & Grains,2,17,6,0,1,0,10,5,13.4,19.6,0.47,1
Gurgaon,Dairy,2,16,1,0,0,0,2,6,5.1,12.5,0.37,0
Central Delhi,Bakery,2,6,9,0,0,0,11,2,13.4,9.1,0.65,0
Gurgaon,Rice & Grains,2,12,8,0,0,0,6,4,11.1,18.1,0.81,1
Gurgaon,Bakery,3,13,12,0,0,0,7,3,16.4,8.9,0.4,0
South Delhi,Packaged Goods,1,20,3,0,1,0,4,4,10.9,14.4,0.69,0
East Delhi,Rice & Grains,2,6,5,0,0,0,4,7,12.8,10.1,0.77,1
West Delhi,Cooked Meals,1,8,7,0,0,1,12,7,3.2,14.4,0.65,1
East Delhi,Rice & Grains,6,6,10,1,0,0,8,1,3.3,19.7,0.84,1
North Delhi,Rice & Grains,0,10,4,0,0,1,6,3,17.0,18.1,0.56,0
North Delhi,Cooked Meals,6,9,9,1,0,1,7,2,4.8,18.8,0.74,0
Dwarka,Dairy,3,11,5,0,0,1,4,4,2.4,11.9,0.59,0
Central Delhi,Rice & Grains,4,9,1,0,0,1,3,5,3.2,19.1,0.86,0
Gurgaon,Bakery,0,13,1,0,0,0,8,3,7.3,5.8,0.49,1
Central Delhi,Bakery,5,18,11,1,1,0,3,8,4.3,14.7,0.78,0
South Delhi,Bakery,0,15,6,0,0,0,7,2,7.4,15.2,0.73,1
South Delhi,Cooked Meals,4,10,3,0,0,1,7,3,12.7,18.3,0.74,1
East Delhi,Rice & Grains,5,15,10,1,0,0,7,2,6.0,8.8,0.76,0
Dwarka,Rice & Grains,2,14,12,0,0,0,2,3,14.3,14.4,0.6,0
East Delhi,Fruits & Vegetables,1,18,8,0,1,0,9,2,3.4,15.2,0.55,0
Gurgaon,Rice & Grains,2,10,2,0,0,1,4,3,14.2,8.9,0.43,0
Noida,Fruits & Vegetables,3,19,8,0,1,0,8,6,3.8,13.2,0.52,0
West Delhi,Packaged Goods,3,21,9,0,1,0,10,4,7.8,10.3,0.4,0
Gurgaon,Dairy,4,13,12,0,0,0,7,1,4.9,5.0,0.57,1
North Delhi,Fruits & Vegetables,4,21,3,0,1,0,2,6,7.5,11.3,0.49,0
East Delhi,Fruits & Vegetables,3,10,9,0,0,1,8,4,5.0,14.2,0.51,0
West Delhi,Cooked Meals,5,10,2,1,0,1,4,7,13.6,23.8,0.86,0
Gurgaon,Fruits & Vegetables,0,9,11,0,0,1,9,3,2.0,10.8,0.31,0
Noida,Bakery,0,13,2,0,0,0,8,3,14.1,12.6,0.47,1
Dwarka,Rice & Grains,1,22,12,0,0,0,9,7,13.4,8.1,0.56,0
Dwarka,Rice & Grains,5,6,5,1,0,0,2,1,11.5,5.0,0.79,1
East Delhi,Dairy,1,6,7,0,0,0,12,8,10.6,5.3,0.43,0
Central Delhi,Dairy,4,15,12,0,0,0,4,5,17.6,6.0,0.78,1
Gurgaon,Bakery,5,12,7,1,0,0,5,7,4.5,5.0,0.77,0
South Delhi,Rice & Grains,3,21,6,0,1,0,8,7,4.2,18.4,0.55,1
Noida,Rice & Grains,3,12,5,0,0,0,3,6,11.5,5.0,0.64,1
Noida,Cooked Meals,1,15,3,0,0,0,3,4,11.4,9.2,0.5,0
Central Delhi,Bakery,4,12,11,0,0,0,5,5,2.9,11.9,0.67,0
North Delhi,Dairy,6,21,1,1,1,0,3,5,1.6,26.0,0.93,1
Noida,Fruits & Vegetables,3,22,4,0,0,0,8,6,17.6,5.7,0.34,0
South Delhi,Fruits & Vegetables,3,22,2,0,0,0,4,1,11.2,11.4,0.7,1
Gurgaon,Packaged Goods,4,7,5,0,0,1,12,8,2.8,5.0,0.28,1
South Delhi,Rice & Grains,1,12,11,0,0,0,4,6,8.9,17.9,0.72,0
East Delhi,Fruits & Vegetables,2,17,10,0,1,0,8,1,16.2,12.8,0.47,0
Gurgaon,Bakery,1,8,3,0,0,1,9,2,14.8,5.3,0.33,0
East Delhi,Fruits & Vegetables,4,8,8,0,0,1,7,3,16.9,15.2,0.65,1
East Delhi,Cooked Meals,2,17,6,0,1,0,4,8,5.8,7.7,0.53,1
Dwarka,Fruits & Vegetables,6,20,11,1,1,0,3,8,2.2,7.5,0.63,0
Central Delhi,Packaged Goods,3,10,8,0,0,1,11,6,7.7,8.9,0.43,1
Gurgaon,Dairy,3,14,11,0,0,0,12,1,13.7,5.0,0.36,1
West Delhi,Rice & Grains,6,6,3,1,0,0,6,7,4.1,16.2,0.78,0
Gurgaon,Cooked Meals,1,18,8,0,1,0,7,8,9.2,8.1,0.54,0
Dwarka,Cooked Meals,0,11,12,0,0,1,8,7,4.8,9.4,0.55,1
Noida,Cooked Meals,2,16,10,0,0,0,9,2,6.1,18.4,0.68,0
North Delhi,Dairy,1,21,3,0,1,0,7,1,17.8,8.1,0.67,0
Gurgaon,Cooked Meals,6,17,7,1,1,0,5,1,5.0,20.4,0.61,0
North Delhi,Rice & Grains,3,14,5,0,0,0,3,3,2.6,16.7,0.77,0
Gurgaon,Cooked Meals,2,20,7,0,1,0,12,5,4.5,6.1,0.43,0
North Delhi,Cooked Meals,3,16,5,0,0,0,7,7,9.4,19.1,0.68,1
East Delhi,Rice & Grains,3,17,12,0,1,0,2,4,2.8,18.0,0.63,0
East Delhi,Fruits & Vegetables,5,16,1,1,0,0,9,3,9.7,15.6,0.62,1
Noida,Cooked Meals,6,19,5,1,1,0,2,8,17.1,23.4,0.87,1
East Delhi,Rice & Grains,3,9,1,0,0,1,5,7,13.0,11.7,0.59,1
East Delhi,Dairy,3,12,6,0,0,0,5,1,7.6,5.0,0.62,1
Noida,Cooked Meals,2,15,9,0,0,0,3,8,12.2,12.9,0.54,0
Dwarka,Packaged Goods,3,17,6,0,1,0,8,6,3.4,12.8,0.39,0
East Delhi,Packaged Goods,3,17,3,0,1,0,4,7,7.8,11.3,0.37,0
Gurgaon,Rice & Grains,2,9,2,0,0,1,3,2,12.2,8.8,0.48,0
Gurgaon,Cooked Meals,3,9,11,0,0,1,11,1,12.5,11.0,0.49,0
Gurgaon,Bakery,1,20,9,0,1,0,5,8,17.2,6.9,0.5,1
Noida,Packaged Goods,3,18,1,0,1,0,5,5,5.9,5.0,0.24,0
Central Delhi,Fruits & Vegetables,6,19,11,1,1,0,8,1,1.8,32.0,0.99,1
East Delhi,Fruits & Vegetables,6,22,12,1,0,0,7,3,17.3,7.2,0.82,0
Gurgaon,Bakery,4,18,4,0,1,0,8,1,14.7,5.1,0.45,0
Gurgaon,Bakery,5,18,12,1,1,0,7,3,8.7,12.1,0.6,1
South Delhi,Rice & Grains,6,10,9,1,0,1,11,7,15.4,21.0,0.85,1
Central Delhi,Dairy,1,16,4,0,0,0,2,7,1.7,9.0,0.58,1
East Delhi,Cooked Meals,4,8,10,0,0,1,4,8,12.0,14.0,0.55,1
Noida,Bakery,1,13,5,0,0,0,5,7,14.2,9.9,0.59,1
North Delhi,Fruits & Vegetables,0,10,11,0,0,1,11,2,3.3,8.6,0.6,1
South Delhi,Cooked Meals,1,15,5,0,0,0,3,2,9.7,20.5,0.8,0
Noida,Bakery,3,9,8,0,0,1,8,2,9.5,7.5,0.52,0
South Delhi,Bakery,5,19,7,1,1,0,12,8,14.8,23.7,0.72,1
East Delhi,Fruits & Vegetables,0,11,11,0,0,1,11,1,3.4,15.1,0.64,0
Noida,Fruits & Vegetables,3,6,3,0,0,0,6,2,4.7,5.0,0.48,0
North Delhi,Dairy,0,22,9,0,0,0,5,6,3.4,14.6,0.57,0
West Delhi,Cooked Meals,2,10,4,0,0,1,4,5,6.0,18.6,0.84,1
West Delhi,Cooked Meals,2,15,8,0,0,0,9,7,10.0,8.1,0.46,0
Gurgaon,Bakery,2,11,4,0,0,1,6,7,3.2,8.0,0.49,0
Central Delhi,Bakery,6,12,12,1,0,0,9,7,11.3,14.3,0.97,1
Central Delhi,Fruits & Vegetables,4,9,10,0,0,1,5,6,7.7,7.3,0.72,1
South Delhi,Packaged Goods,1,7,9,0,0,1,8,5,11.5,6.9,0.77,1
Noida,Packaged Goods,0,9,3,0,0,1,8,3,7.4,15.5,0.32,0
South Delhi,Bakery,5,17,6,1,1,0,7,2,1.7,18.5,0.93,1
North Delhi,Rice & Grains,2,12,8,0,0,0,7,4,10.8,10.7,0.62,0
Gurgaon,Fruits & Vegetables,4,12,9,0,0,0,10,5,13.3,6.9,0.26,1
South Delhi,Dairy,5,19,11,1,1,0,7,6,4.8,26.1,0.82,1
North Delhi,Packaged Goods,3,7,5,0,0,1,3,8,4.3,5.2,0.64,0
Noida,Dairy,3,13,10,0,0,0,2,1,16.5,5.0,0.57,1
Central Delhi,Bakery,6,18,1,1,1,0,10,1,7.1,18.7,0.79,0
North Delhi,Cooked Meals,3,9,7,0,0,1,6,6,13.9,19.4,0.68,0
Gurgaon,Cooked Meals,4,16,8,0,0,0,8,5,13.0,11.9,0.62,0
Dwarka,Packaged Goods,6,9,6,1,0,1,3,1,5.2,6.8,0.56,0
North Delhi,Bakery,0,16,12,0,0,0,5,3,3.0,5.0,0.46,0
Noida,Dairy,0,7,5,0,0,1,2,2,2.3,23.5,0.61,0
Central Delhi,Cooked Meals,2,16,12,0,0,0,8,5,13.0,10.2,0.59,0
East Delhi,Dairy,3,9,3,0,0,1,4,7,12.0,13.8,0.62,1
South Delhi,Dairy,4,13,10,0,0,0,9,5,6.8,17.1,0.66,1
Dwarka,Bakery,0,14,5,0,0,0,7,4,12.4,6.5,0.5,0
West Delhi,Rice & Grains,0,8,8,0,0,1,2,4,9.2,12.3,0.35,1
Gurgaon,Bakery,3,9,6,0,0,1,11,6,14.0,5.3,0.33,1
Central Delhi,Rice & Grains,3,10,9,0,0,1,4,4,16.6,17.7,0.99,1
Gurgaon,Packaged Goods,6,22,4,1,0,0,5,2,6.1,8.1,0.54,0
East Delhi,Rice & Grains,2,9,3,0,0,1,3,2,5.5,17.5,0.64,0
Dwarka,Bakery,2,6,8,0,0,0,9,6,5.9,9.3,0.53,0
South Delhi,Fruits & Vegetables,3,12,3,0,0,0,8,6,2.4,23.8,0.56,1
Central Delhi,Fruits & Vegetables,0,7,11,0,0,1,8,4,6.4,16.4,0.56,1
Gurgaon,Bakery,4,14,9,0,0,0,10,7,3.3,8.6,0.33,0
North Delhi,Rice & Grains,1,9,4,0,0,1,2,5,5.4,11.8,0.59,1
South Delhi,Fruits & Vegetables,1,18,7,0,1,0,5,5,9.7,22.4,0.77,1
East Delhi,Bakery,2,15,12,0,0,0,2,2,4.6,5.0,0.53,0
Dwarka,Rice & Grains,2,13,3,0,0,0,3,3,4.6,6.4,0.42,1
Dwarka,Bakery,0,21,7,0,1,0,4,5,16.0,8.2,0.44,1
East Delhi,Rice & Grains,6,6,10,1,0,0,9,1,9.6,28.5,0.84,1
West Delhi,Packaged Goods,0,7,1,0,0,1,6,4,10.2,5.0,0.39,0
